Club,Twitter,Last Tweet,Followers,NU Specifc,Include: 58
Baptist Collegiate Ministry,BCMNorthwestern,9/18/2017,94,1,
CSO-NU,csoatnu,1/16/2017,158,1,
Christians on Campus,NUChristians,9/23/2013,13,1,
LCMNU,NUlutheran,1/27/2015,10,1,
MEOR,MEORNU,10/27/2017,45,1,
Northwestern UBF,northwesternubf,4/11/2015,31,1,
Club Baseball,nuclubbaseball,9/24/2017,333,1,1
Club Golf,ClubGolfNU,4/1/2016,38,1,
Club Tennis,NUClubTennis,10/21/2017,64,1,
Equestrian Team,NUEquestrian,11/27/2017,328,1,1
eSports Club,NUEsports,4/24/2017,75,1,
Men's Rugby,NUmensrugby,10/8/2016,12,1,
Men's Ultimate Frisbee,NUTultimate,11/20/2017,731,1,1
Triathlon Club,NU_Triathlon,10/28/2016,255,1,
Sailing Team,NU_SailingTeam,9/13/2017,556,1,1
NU Ski Team,NUSkiTeam,10/1/2017,108,1,
Women's Ultimate Frisbee,GungHoUltimate,11/16/2017,621,1,1
